Total number of intervals = 90
Timestamp start: 1715943774206
Timestamp end: 1715944674861

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      357.1   425.3    68.9   128.4   147.9   302.8   382.9   431.1   467.7   512.0   571.7   669.4  1268.5  5899.9 12508.3  81703.7    81759
read      356.9   408.3    68.9   122.5   140.2   297.9   380.1   432.2   470.4   516.0   575.6   701.7  1292.6  5082.8 13361.9  37273.2    37291
read      342.9   327.5    63.8   124.5   142.2   303.4   383.3   430.1   464.4   505.4   556.1   633.6  1008.3  4412.3  9947.6  53824.7    53818
read      423.6   822.7    63.8   123.8   142.2   304.1   410.0   480.0   537.9   623.4   759.6   940.2  1484.6 10271.8 32457.4  30330.7    30297
read      385.7   558.2    68.9   124.5   142.6   302.1   391.8   452.0   497.8   557.2   668.0   899.0  1286.9  6993.0 25629.1  31595.0    31569
read      360.4   430.6    63.8   122.2   140.3   300.9   382.9   435.5   474.4   521.7   583.6   724.4  1307.7  4549.6 12500.4  38868.4    38927
read      605.2  2106.7    74.4   130.2   152.6   323.0   395.7   434.8   461.9   493.5   535.6   634.2  9027.3 32242.7 40051.3  10637.2    10652
read      367.2   426.5    68.9   132.1   153.9   308.7   386.8   435.4   472.0   518.7   582.2   690.0  1523.6  5140.7 12197.7  98261.9    98119
read      339.0   345.7    68.9   122.9   140.6   300.7   379.0   426.2   461.5   503.1   554.0   630.1  1011.4  3548.1  8944.6  48122.0    48176
read      367.7   503.3    68.9   123.2   141.1   298.7   385.3   440.4   482.2   531.5   601.3   812.7  1258.8  5564.3 25073.3  34779.6    34929
read      359.9   360.2    68.9   129.0   148.2   309.5   393.2   443.0   479.9   525.1   583.4   680.0  1285.8  4202.9 11466.1  69686.4    69735
read      478.1  1269.3    68.9   126.8   145.4   325.8   432.8   500.4   550.6   610.0   681.3   796.9  3954.0 17996.4 35593.4  20669.8    20753
read      667.0   688.3    68.9   165.7   198.3   379.9   556.7   764.0  1202.2  1471.6  1651.7  1872.4  2768.9  3480.5 17668.7  84552.6    84642
read      410.1   387.0    63.8   124.1   142.1   286.5   388.2   474.0   573.4   746.3   955.6  1158.3  1432.5  1798.2 10583.9  42336.0    42333
read      416.5   444.9    63.8   124.1   142.7   275.0   358.5   421.5   481.9   604.6  1038.2  1430.4  1837.0  2349.4 10703.6  61660.2    61587
