time,CPU0,CPU1,CPU_total
1714237978621.0479,100.0,14.4,100.0
1714237979622.4165,100.0,9.7,100.0
1714237980623.6245,100.0,13.4,100.0
1714237981625.0283,89.0,12.4,89.0
1714237982626.3115,0.0,2.0,0.0
1714237983627.6702,25.7,1.0,25.7
1714237984629.1335,100.0,10.8,100.0
1714237985630.5513,100.0,11.6,100.0
1714237986631.6414,100.0,15.8,100.0
1714237987633.0215,100.0,11.3,100.0
1714237988634.4363,77.2,16.2,77.2
1714237989635.7388,0.0,1.0,0.0
1714237990637.057,45.5,7.1,45.5
1714237991638.568,100.0,17.7,100.0
1714237992639.6401,100.0,18.2,100.0
1714237993641.016,100.0,16.7,100.0
1714237994642.4111,100.0,13.0,100.0
1714237995643.7998,55.9,3.2,55.9
1714237996644.5813,0.0,0.0,0.0
1714237997645.542,65.3,12.6,65.3
1714237998646.9648,100.0,13.5,100.0
1714237999647.6484,100.0,13.8,100.0
1714238000649.0593,100.0,17.2,100.0
1714238001650.4612,100.0,19.8,100.0
1714238002651.927,34.3,7.1,34.3
1714238003653.2083,2.9,0.0,2.9
1714238004654.5286,84.8,5.3,84.8
1714238005655.6492,100.0,13.3,100.0
1714238006656.9949,100.0,13.1,100.0
1714238007658.3823,100.0,13.3,100.0
1714238008659.608,100.0,14.9,100.0
1714238009661.0752,14.1,0.0,14.1
1714238010662.4126,4.0,1.0,4.0
1714238011663.6392,100.0,13.5,100.0
1714238012665.0408,100.0,19.8,100.0
1714238013666.4172,100.0,22.4,100.0
1714238014667.6062,100.0,16.7,100.0
1714238015669.0156,96.0,15.2,96.0
1714238016670.2869,1.0,1.0,1.0
1714238017671.5933,27.0,5.9,27.0
1714238018673.0303,100.0,25.2,100.0
1714238019674.4473,100.0,19.2,100.0
1714238020675.6265,100.0,16.7,100.0
1714238021676.9739,100.0,14.9,100.0
1714238022678.4006,75.0,12.4,75.0
1714238023679.6194,0.0,1.0,0.0
1714238024680.9082,46.5,3.2,46.5
1714238025682.3042,100.0,16.2,100.0
1714238026683.6155,100.0,19.2,100.0
1714238027685.0076,100.0,18.8,100.0
1714238028686.4185,100.0,16.0,100.0
1714238029687.8037,56.0,6.2,56.0
1714238030689.105,0.0,0.0,0.0
1714238031690.3992,66.3,11.1,66.3
1714238032691.6123,100.0,14.1,100.0
1714238033693.0327,100.0,12.6,100.0
1714238034694.5242,100.0,7.7,100.0
1714238035695.643,100.0,14.3,100.0
1714238036697.0588,34.0,1.1,34.0
1714238037698.478,0.0,1.0,0.0
1714238038699.6187,86.0,9.4,86.0
1714238039701.0159,100.0,6.6,100.0
1714238040702.3975,100.0,9.5,100.0
1714238041703.6218,100.0,16.0,100.0
1714238042705.0354,100.0,14.1,100.0
1714238043706.5154,15.0,0.0,15.0
1714238044707.6094,0.0,1.0,0.0
1714238045708.8997,1.0,1.0,1.0
1714238046710.2012,0.0,0.0,0.0
1714238047711.5051,0.0,0.0,0.0
1714238048712.8662,1.0,1.0,1.0
1714238049714.1582,0.0,0.0,0.0
1714238050715.4656,0.0,0.0,0.0
1714238051716.804,0.0,1.0,0.0
1714238052718.0938,0.0,1.0,0.0
1714238053719.3818,2.0,1.0,2.0
1714238054720.6663,0.0,0.0,0.0
1714238055721.9644,0.0,0.0,0.0
1714238056723.2869,1.0,0.0,1.0
1714238057724.61,0.0,1.0,0.0
1714238058725.9312,0.0,0.0,0.0
1714238059727.219,1.0,1.0,1.0
1714238060728.5347,1.0,0.0,1.0
1714238061729.8179,0.0,1.0,0.0
1714238062731.1045,0.0,0.0,0.0
1714238063732.4163,1.0,1.0,1.0
