Total number of intervals = 137Average QPS expected = 51478
Timestamp start: 1716049720770
Timestamp end: 1716050621320

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target    
read      443.5   415.7   148.8   218.8   235.4   368.4   442.2   489.7   526.7   573.9   640.6   805.0  1810.5  3930.0 11547.9  86467.7    86505
read      413.8   314.8   160.7   220.0   237.2   365.5   434.0   475.9   508.0   548.6   605.1   700.3  1282.5  3623.7  9469.5  92992.4    93039
read      410.8   361.0   160.7   216.8   231.8   354.2   427.5   472.2   508.2   551.8   611.1   708.6  1360.6  3971.2 10146.2  75901.1    75999
read      454.6   468.1   148.8   215.3   230.0   377.4   503.1   561.8   599.7   640.2   693.4   806.8  1383.7  5813.2 15800.1  32409.2    32324
read      413.1   416.8   160.7   218.4   233.9   358.0   427.6   469.5   503.1   544.2   600.1   693.5  1353.2  4440.0 17947.3  84443.8    84255
read      407.5   335.5   160.7   217.6   233.1   355.7   426.5   469.3   503.2   544.7   601.5   694.1  1261.7  4047.9  9496.2  81730.9    81759
read      432.8   379.5   160.7   211.7   226.5   358.6   479.3   541.3   581.0   623.1   675.0   778.8  1232.5  4038.4 13547.7  37203.0    37291
read      431.4   438.0   160.7   216.1   230.9   357.8   448.8   506.4   549.2   599.4   660.3   764.8  1428.1  5142.0 15517.2  53596.5    53818
read      481.3   716.2   160.7   213.5   228.4   382.7   512.4   569.5   607.3   648.9   707.1   855.6  1758.1  9145.1 31589.3  30280.8    30297
read      465.6   564.3   160.7   212.5   227.4   374.4   503.0   561.0   599.3   640.4   697.1   833.2  1606.3  7105.5 28543.3  31715.2    31569
read      416.3   328.5   160.7   211.3   225.9   348.6   463.0   526.1   566.3   607.9   654.0   727.3  1105.2  3545.0  9097.7  39112.1    38927
read      763.4  2197.5   160.7   223.5   243.6   465.3   549.1   590.9   620.1   653.9   704.0   918.8  8941.7 32022.0 42046.7  10677.0    10652
read      444.7   481.1   148.8   223.5   242.7   376.8   446.9   491.2   525.8   569.8   631.5   756.7  1735.5  5369.8 20919.5  97991.7    98119
read      410.6   368.2   148.8   211.4   226.0   344.2   436.4   500.1   544.4   592.2   644.5   722.4  1123.8  3908.7 12199.4  48097.4    48176
read      454.3   653.0   148.8   212.0   226.8   363.1   488.2   549.1   588.9   629.2   679.1   778.1  1446.1  7263.1 29927.6  35115.9    34929
read      419.8   405.8   148.8   214.1   229.0   345.9   423.6   472.6   512.5   563.4   631.8   763.3  1615.8  4002.9 13953.9  69683.8    69735
read      651.9  1503.3   160.7   219.3   236.4   464.5   583.5   653.3   704.6   760.9   834.6   988.9  6446.3 29515.2 38057.7  20727.0    20753
read      445.1   591.8   160.7   215.3   231.6   359.0   430.8   475.9   511.9   558.6   625.5   785.1  1852.2  7666.8 26738.7  84504.8    84642
read      415.0   392.0   160.7   209.2   223.7   343.6   449.4   515.3   558.0   603.0   651.9   725.0  1127.8  5435.3 10137.0  42403.0    42333
read      411.7   425.3   148.8   213.2   228.0   344.0   423.7   476.2   517.6   567.2   627.9   720.6  1324.1  5342.2 15005.5  61838.8    61587
read      411.8   503.0   160.7   216.5   231.7   347.1   417.9   461.2   495.5   538.2   595.4   692.7  1497.8  4964.4 27388.3  77940.8    77998
read      424.3   508.5   148.8   221.7   239.8   365.4   431.4   471.2   502.5   541.0   593.1   691.9  1486.7  6618.9 20598.8  97723.2    97625
read      585.4  1257.6   160.7   217.4   232.8   437.1   551.3   611.9   655.8   714.2   799.7   963.8  4608.5 18952.6 37588.0  23814.8    23781
read      422.7   522.6   160.7   214.5   229.2   347.6   424.5   473.2   512.5   561.0   624.3   736.3  1613.5  7070.5 28719.4  66674.4    66723
read      485.9   745.4   160.7   213.6   228.3   378.4   508.4   566.2   604.2   645.9   709.8   880.8  1875.0  8342.2 31434.1  31064.1  31016
