Total number of intervals = 450 
Timestamp start: 1715967267448
Timestamp end: 1715968168362

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      327.2   230.3    74.4   122.8   140.0   297.7   366.5   410.6   444.6   481.8   526.7   599.8   986.0  1883.7  8362.3  31572.5    31569
read      359.8   467.2    74.4   120.9   138.3   305.1   379.7   426.2   461.3   503.5   558.7   666.1  1353.0  7703.5 17747.0  38754.0    38927
read      386.0   772.8    80.4   127.5   148.3   324.4   390.4   428.1   455.1   487.0   527.9   592.3  1711.3  7970.7 32355.9  10698.5    10652
read      815.3   779.5    80.4   264.8   299.1   444.1   741.9  1412.8  1521.4  1648.4  1784.1  1968.9  2821.1  8028.1 19902.7  97580.5    98119
read      390.9   591.0    74.4   126.5   144.2   311.8   387.2   430.8   466.7   519.8   606.5   841.7  1738.1  6552.7 30405.8  48189.5    48176
read      354.5   525.1    68.9   122.9   140.5   303.5   374.5   418.8   453.2   495.1   547.7   651.4  1254.1  5772.6 20448.0  35157.5    34929
read      379.5   394.0    74.4   129.5   149.5   316.3   399.9   450.9   489.5   538.8   604.7   744.1  1682.0  3940.4 15681.4  69656.5    69735
read      495.1  1355.0    68.9   122.6   141.1   314.9   420.3   491.9   554.4   636.9   737.9   902.1  3995.9 18500.3 42312.3  20679.0    20753
read      438.5   495.9    74.4   132.8   156.5   334.8   414.0   468.8   521.3   592.3   713.1  1342.6  2005.5  4073.4 14535.9  84483.5    84642
read      371.0   379.0    68.9   123.2   141.1   304.0   377.8   427.2   467.1   518.2   590.4   911.1  1531.1  4234.9  9685.9  42467.0    42333
read      349.7   312.9    74.4   124.8   143.6   308.8   387.2   433.8   469.3   512.0   566.6   656.6  1158.0  2547.8 10722.6  61372.0    61587
read      383.6   437.3    74.4   130.0   150.7   322.0   402.0   452.1   492.5   543.8   617.5   770.4  1689.3  3326.0 14489.4  77737.5    77998
read      375.0   358.4    68.9   136.1   159.6   323.2   397.5   443.6   481.3   530.1   597.7   717.2  1434.6  4296.3  9944.0  97550.5    97625
read      473.1  1107.3    74.4   119.6   137.6   314.7   429.1   511.0   587.4   675.7   775.1   925.5  2675.2 12449.8 35985.6  23883.5    23781
read      393.8   404.1    74.4   127.8   147.0   313.3   396.7   449.2   491.1   545.1   622.3   964.5  1841.8  3031.5 15402.9  66590.0    66723
read      381.9   439.2    68.9   121.2   139.3   302.1   383.4   444.9   493.8   560.7   731.4   966.0  1282.3  5605.2  9067.7  31054.5    31016
read      476.7   704.6    68.9   127.5   146.7   308.2   401.2   478.4   561.3   780.9  1134.6  1407.8  2043.3  7674.1 24880.8  47357.0    47394
read      371.0   373.8    68.9   134.2   156.8   313.5   386.7   432.8   470.3   521.5   588.8   704.3  1661.3  4171.4 10727.1  95550.0    95335
read      640.6  2361.4    80.4   137.2   168.7   290.1   332.2   355.4   372.3   399.7   451.2   947.2 10348.6 30627.1 36438.2   5331.0     5252
read      424.9   497.3    68.9   128.8   149.4   323.5   407.7   463.2   507.9   567.6   670.0  1193.0  2064.3  5588.8 12784.3  65497.0    65908
read      513.1  1396.6    74.4   122.2   140.5   342.2   438.8   501.5   548.7   602.9   670.3   795.1  5936.7 28045.1 36560.2  17139.5    16889
read      393.6   725.9    74.4   123.0   140.8   310.0   384.5   434.2   471.2   516.8   576.5   743.0  1787.3  9454.3 31152.3  42778.5    42912
read      377.2   393.7    68.9   136.3   159.1   323.7   400.4   446.4   482.9   532.0   602.0   727.2  1417.4  4257.1 13944.7 100063.0    99898
read      464.5   723.3    68.9   123.9   142.6   331.8   461.1   552.0   631.6   729.2   856.0  1035.2  2148.5  9840.5 31209.2  26375.0    26385
