Total number of intervals = 90
Timestamp start: 1715940446344
Timestamp end: 1715941347034

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      296.3   261.2    68.9   124.5   141.6   274.8   340.1   377.2   402.8   431.8   464.9   512.2   618.0  1379.2  9963.5  23861.5    23781
read      314.6   205.6    68.9   123.8   141.8   288.3   358.6   401.6   434.4   472.8   522.2   591.3   745.6  1058.1  7498.4  66813.6    66723
read      300.2   206.5    68.9   122.0   139.4   277.3   342.5   382.7   412.3   446.5   486.8   543.4   660.1  1083.6  8618.6  31109.2    31016
read      313.8   235.4    68.9   122.2   139.9   289.5   357.9   399.2   431.1   468.3   515.0   581.8   723.7  1237.7  8965.7  47505.0    47394
read      315.5   200.4    63.8   126.5   145.6   284.4   352.3   395.5   430.3   473.1   530.8   613.4   765.9  1129.9  7731.6  95435.2    95335
read      291.3   457.6    86.8   150.3   174.3   262.6   296.4   315.2   329.1   345.1   368.6   411.8   578.3  6668.5 20314.4   5238.9     5252
read      314.7   192.0    68.9   123.9   141.7   288.3   360.4   403.7   436.5   473.9   522.1   589.9   738.3  1083.4  7041.1  65870.6    65908
read      300.6   247.3    68.9   128.6   145.3   289.0   348.3   379.3   400.1   424.8   454.6   497.9   589.8  1914.9 10599.3  16889.2    16889
read      311.7   217.4    63.8   122.2   139.7   286.1   355.9   399.5   432.6   470.2   516.1   579.7   703.5  1066.8  8870.3  42862.4    42912
read      314.6   190.4    68.9   128.5   147.6   282.9   350.9   394.3   428.4   470.6   528.0   611.6   767.7  1068.5  5898.5 100033.4    99898
read      296.3   215.6    68.9   123.4   140.4   274.0   340.3   379.3   407.5   439.9   477.1   530.3   635.0  1065.5  8633.4  26445.5    26385
read      298.4   242.2    68.9   124.7   141.7   278.7   346.7   384.5   410.2   438.6   471.1   517.6   612.9  1098.6 10136.8  22611.8    22616

Total QPS = 51601.3 (46441136 / 900.0s)

Total connections = 64
Misses = 0 (0.0%)
Skipped TXs = 0 (0.0%)

RX 11470960098 bytes :   12.2 MB/s
TX          0 bytes :    0.0 MB/s
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 99.99%,51.26%,100.00%
ubuntu@client-measure-0r2f:~/memcache-perf-dynamic$
